时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2025-10-29,三	37.13		40.54		36.80		39.86		+6.58%		10.00%		5,581,510	215,273,750	0		0		
2025-10-30,四	39.50		43.33		39.10		40.00		+0.35%		10.61%		9,338,400	386,185,310	0		0		
2025-10-31,五	39.60		50.50		39.52		44.70		+11.75%		27.45%		15,780,112	709,779,640	0		0		
2025-11-03,一	45.10		46.40		42.50		45.00		+0.67%		8.72%		10,080,915	449,788,690	0		0		
2025-11-04,二	43.12		44.57		41.62		44.36		-1.42%		6.56%		8,064,107	346,855,960	0		0		
2025-11-05,三	42.63		43.61		41.51		42.08		-5.14%		4.73%		7,150,989	303,292,040	0		0		
2025-11-06,四	41.62		42.00		40.00		40.01		-4.92%		4.75%		5,671,900	229,675,480	0		0		
2025-11-07,五	39.85		40.71		39.55		40.13		+0.30%		2.90%		3,859,934	155,135,990	0		0		
2025-11-10,一	40.20		40.28		38.40		38.48		-4.11%		4.68%		4,487,402	174,336,070	0		0		
2025-11-11,二	38.71		39.66		38.20		38.37		-0.29%		3.79%		3,405,950	132,197,742	0		0		
2025-11-12,三	38.37		39.46		38.00		38.88		+1.33%		3.81%		3,020,934	117,488,743	0		0		
2025-11-13,四	38.88		40.22		38.45		39.83		+2.44%		4.55%		4,343,238	172,421,520	0		0		
2025-11-14,五	39.70		39.70		37.51		37.76		-5.20%		5.50%		4,401,371	169,071,140	0		0		
2025-11-17,一	37.36		39.49		37.21		38.56		+2.12%		6.04%		4,336,514	167,828,240	0		0		
2025-11-18,二	38.72		40.32		38.50		39.35		+2.05%		4.72%		6,480,640	256,715,210	0		0		
2025-11-19,三	39.50		40.36		36.68		37.03		-5.90%		9.35%		4,928,307	186,917,950	0		0		
2025-11-20,四	37.09		37.57		36.00		36.00		-2.78%		4.24%		3,114,205	113,567,867	0		0		
2025-11-21,五	35.55		36.80		34.71		35.77		-0.64%		5.81%		3,564,118	127,109,308	0		0		
2025-11-24,一	35.99		36.56		34.73		36.28		+1.43%		5.12%		3,317,770	118,352,795	0		0		
2025-11-25,二	36.28		37.28		36.28		36.45		+0.47%		2.76%		2,925,985	107,665,136	0		0		
2025-11-26,三	36.60		36.89		35.56		35.75		-1.92%		3.65%		2,512,364	90,828,677	0		0		
2025-11-27,四	35.67		36.06		35.18		35.21		-1.51%		2.46%		1,663,391	59,164,251	0		0		
2025-11-28,五	35.18		35.59		34.71		35.13		-0.23%		2.50%		1,385,971	48,596,133	0		0		
2025-12-01,一	35.17		36.50		34.70		36.11		+2.79%		5.12%		2,184,553	78,115,324	0		0		
2025-12-02,二	36.32		36.33		35.08		35.29		-2.27%		3.46%		1,561,193	55,695,002	0		0		
2025-12-03,三	35.30		35.50		34.75		34.77		-1.47%		2.13%		1,337,111	46,802,753	0		0		
2025-12-04,四	34.78		35.09		34.21		34.43		-0.98%		2.53%		1,329,308	45,899,863	0		0		
2025-12-05,五	34.50		35.86		33.99		35.31		+2.56%		5.43%		1,989,954	69,680,831	0		0		
2025-12-08,一	35.18		35.99		35.18		35.58		+0.76%		2.29%		1,838,465	65,531,348	0		0		
2025-12-09,二	35.60		35.61		34.60		34.67		-2.56%		2.84%		1,536,087	53,776,567	0		0		
2025-12-10,三	34.50		34.59		34.01		34.40		-0.78%		1.67%		1,067,420	36,580,832	0		0		
2025-12-11,四	34.50		36.60		34.01		35.67		+3.69%		7.53%		3,676,745	130,571,794	0		0		
2025-12-12,五	35.42		36.40		34.81		35.66		-0.03%		4.46%		2,869,661	102,506,292	0		0		
2025-12-15,一	35.16		35.72		34.83		35.28		-1.07%		2.50%		1,612,614	56,850,853	0		0		
2025-12-16,二	35.28		36.20		35.03		35.86		+1.64%		3.32%		2,450,812	87,794,683	0		0		
2025-12-17,三	35.70		36.05		34.94		35.95		+0.25%		3.10%		2,265,490	80,454,536	0		0		
2025-12-18,四	35.88		36.60		35.56		36.04		+0.25%		2.89%		2,541,861	91,972,637	0		0		
2025-12-19,五	36.01		36.96		35.73		36.78		+2.05%		3.41%		2,737,863	100,118,938	0		0		
2025-12-22,一	36.77		36.77		36.10		36.17		-1.66%		1.82%		2,250,840	81,711,328	0		0		
2025-12-23,二	36.00		36.18		35.15		35.18		-2.74%		2.85%		2,113,836	75,025,088	0		0		
2025-12-24,三	34.74		35.55		34.74		35.38		+0.57%		2.30%		993,724		35,045,455	0		0		
2025-12-25,四	35.55		35.82		35.15		35.38		+0.00%		1.89%		1,533,065	54,395,496	0		0		
2025-12-26,五	35.57		35.76		35.00		35.10		-0.79%		2.15%		1,434,537	50,681,328	0		0		
2025-12-29,一	35.11		35.80		34.86		35.29		+0.54%		2.68%		1,558,433	55,010,833	0		0		
2025-12-30,二	35.00		35.58		34.70		35.25		-0.11%		2.49%		1,359,546	47,944,808	0		0		
2025-12-31,三	35.46		36.36		35.00		35.75		+1.42%		3.86%		2,332,611	83,136,579	0		0		

