时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2024-03-20,三	15.14		15.36		14.86		15.29		+0.07%		3.27%		1,613,034	24,464,964	0		0		
2024-03-21,四	15.32		15.39		14.83		14.84		-2.94%		3.66%		1,462,077	22,020,011	0		0		
2024-03-22,五	14.70		15.04		14.53		14.64		-1.35%		3.44%		1,620,749	23,855,745	0		0		
2024-03-25,一	14.51		14.64		13.92		13.92		-4.92%		4.92%		1,150,231	16,551,537	0		0		
2024-03-26,二	13.95		14.00		13.21		13.40		-3.74%		5.68%		1,114,813	15,040,973	0		0		
2024-03-27,三	13.33		13.97		13.30		13.30		-0.75%		5.00%		1,012,439	13,841,982	0		0		
2024-03-28,四	13.29		13.75		13.22		13.51		+1.58%		3.98%		735,110		9,916,882	0		0		
2024-03-29,五	13.43		13.80		13.42		13.61		+0.74%		2.81%		615,639		8,367,452	0		0		
2024-04-01,一	13.58		13.82		13.52		13.78		+1.25%		2.20%		765,716		10,472,956	0		0		
2024-04-02,二	13.76		14.38		13.76		13.92		+1.02%		4.50%		1,195,614	16,856,394	0		0		
2024-04-03,三	13.83		14.00		13.51		13.58		-2.44%		3.52%		826,969		11,300,952	0		0		
2024-04-08,一	13.53		13.58		12.70		12.72		-6.33%		6.48%		840,515		10,981,315	0		0		
2024-04-09,二	12.85		13.08		12.75		13.01		+2.28%		2.59%		560,257		7,242,429	0		0		
2024-04-10,三	12.90		13.65		12.79		13.27		+2.00%		6.61%		1,424,250	19,086,456	0		0		
2024-04-11,四	13.45		13.45		12.98		13.04		-1.73%		3.54%		582,745		7,634,314	0		0		
2024-04-12,五	12.96		13.15		12.66		12.77		-2.07%		3.76%		666,037		8,582,577	0		0		
2024-04-15,一	12.71		12.90		12.10		12.30		-3.68%		6.26%		754,085		9,403,051	0		0		
2024-04-16,二	12.19		12.29		11.23		11.28		-8.29%		8.62%		800,626		9,189,712	0		0		
2024-04-17,三	11.49		12.28		11.49		12.08		+7.09%		7.00%		841,331		10,047,994	0		0		
2024-04-18,四	12.00		12.50		11.88		12.12		+0.33%		5.13%		665,755		8,168,830	0		0		
2024-04-19,五	12.11		12.20		11.71		11.87		-2.06%		4.04%		687,570		8,231,339	0		0		
2024-04-22,一	11.87		12.10		11.72		11.91		+0.34%		3.20%		418,995		4,993,758	0		0		
2024-04-23,二	12.05		12.38		11.88		12.26		+2.94%		4.20%		700,348		8,508,716	0		0		
2024-04-24,三	12.20		12.49		12.18		12.37		+0.90%		2.53%		621,326		7,680,033	0		0		
2024-04-25,四	12.32		12.36		12.00		12.01		-2.91%		2.91%		693,453		8,405,233	0		0		
2024-04-26,五	12.13		13.17		12.01		12.77		+6.33%		9.66%		1,740,111	21,966,426	0		0		
2024-04-29,一	12.94		13.35		12.60		12.89		+0.94%		5.87%		2,080,512	26,936,171	0		0		
2024-04-30,二	12.98		13.02		12.56		12.69		-1.55%		3.57%		745,847		9,576,136	0		0		
2024-05-06,一	12.99		13.00		12.72		12.80		+0.87%		2.21%		698,830		8,962,341	0		0		
2024-05-07,二	12.80		13.02		12.72		12.88		+0.63%		2.34%		860,249		11,092,972	0		0		
2024-05-08,三	12.63		12.88		12.55		12.56		-2.48%		2.56%		672,167		8,515,205	0		0		
2024-05-09,四	12.68		12.78		12.58		12.66		+0.80%		1.59%		569,596		7,219,499	0		0		
2024-05-10,五	12.72		12.72		12.38		12.44		-1.74%		2.69%		516,124		6,447,242	0		0		
2024-05-13,一	12.35		12.49		12.18		12.22		-1.77%		2.49%		326,118		3,999,466	0		0		
2024-05-14,二	12.35		12.68		12.21		12.51		+2.37%		3.85%		476,318		5,912,670	0		0		
2024-05-15,三	12.40		12.45		12.06		12.10		-3.28%		3.12%		525,213		6,443,952	0		0		
2024-05-16,四	12.10		12.27		12.07		12.07		-0.25%		1.65%		389,777		4,725,600	0		0		
2024-05-17,五	12.07		12.24		12.07		12.19		+0.99%		1.41%		239,611		2,914,021	0		0		
2024-05-20,一	12.26		12.35		12.16		12.22		+0.25%		1.56%		302,139		3,705,004	0		0		
2024-05-21,二	12.12		12.21		11.95		11.99		-1.88%		2.13%		294,357		3,561,910	0		0		
2024-05-22,三	11.99		12.17		11.95		12.15		+1.33%		1.83%		321,864		3,884,844	0		0		
2024-05-23,四	12.18		12.95		12.06		12.62		+3.87%		7.33%		1,427,432	18,047,246	0		0		
2024-05-24,五	12.50		12.70		12.18		12.20		-3.33%		4.12%		614,143		7,639,144	0		0		
2024-05-27,一	12.20		12.22		12.02		12.16		-0.33%		1.64%		397,553		4,812,323	0		0		
2024-05-28,二	12.15		12.48		12.04		12.42		+2.14%		3.62%		541,368		6,645,002	0		0		
2024-05-29,三	12.38		12.42		12.11		12.23		-1.53%		2.50%		366,021		4,492,443	0		0		
2024-05-30,四	12.16		12.17		11.93		11.99		-1.96%		1.96%		410,891		4,936,824	0		0		
2024-05-31,五	12.04		12.17		11.98		12.05		+0.50%		1.58%		419,974		5,064,494	0		0		
2024-06-03,一	12.01		12.13		11.81		11.87		-1.49%		2.66%		448,873		5,355,941	0		0		
2024-06-04,二	11.92		11.93		11.60		11.68		-1.60%		2.78%		334,816		3,927,599	0		0		
2024-06-05,三	11.62		11.75		11.55		11.61		-0.60%		1.71%		262,166		3,046,689	0		0		
2024-06-06,四	11.60		11.68		11.20		11.24		-3.19%		4.13%		586,119		6,662,524	0		0		
2024-06-07,五	11.36		11.66		11.25		11.40		+1.42%		3.65%		331,650		3,787,710	0		0		
2024-06-11,二	11.40		11.50		11.01		11.49		+0.79%		4.30%		216,094		2,460,313	0		0		
2024-06-12,三	11.43		11.83		11.36		11.68		+1.65%		4.09%		296,195		3,434,393	0		0		
2024-06-13,四	11.73		11.85		11.50		11.67		-0.09%		3.00%		367,694		4,283,152	0		0		
2024-06-14,五	11.61		11.97		11.60		11.93		+2.23%		3.17%		473,126		5,593,509	0		0		
2024-06-17,一	11.99		11.99		11.60		11.66		-2.26%		3.27%		228,187		2,676,832	0		0		
2024-06-18,二	11.70		11.80		11.57		11.71		+0.43%		1.97%		292,599		3,418,809	0		0		
2024-06-19,三	11.73		12.59		11.68		12.10		+3.33%		7.77%		1,448,812	17,756,804	0		0		
2024-06-20,四	12.10		12.35		11.69		12.31		+1.74%		5.45%		1,312,207	15,771,032	0		0		
